Date,Working_Age_Population,Not_in_Labour_Force,Labour_Force,Emp_SA_Total,Unemployment,PR_SA_Total,UR_SA_Total,Emp_SA_FT_Male,Emp_SA_FT_Female,Emp_SA_FT,Emp_SA_PT_Male,Emp_SA_PT_Female,Emp_SA_PT,PR_SA_Male,PR_SA_Female,UR_SA_Male,UR_SA_Female,FT_Share_Male,FT_Share_Female
1978-02,10.4893299655,4.0208534365,6.42459195599,5.99771154141,0.42688041457000003,0.6124883074,0.0664447513,3680.01349764,1399.59114604,5.07960464368,201.20059427,716.90630346,0.91810689773,79.49149957,43.49391414,5.62566664,8.45671221,0.948160397879266,0.6612770293536798
1978-03,10.50864091,4.043230138,6.407047541640001,6.00323418064,0.403813361,0.6096932607,0.0630264343,3691.45533515,1403.96198936,5.0954173245100005,193.34524637,714.47160975,0.90781685612,79.15353311,43.27319268,5.30434658,8.07967476,0.9502303291217203,0.6627358959704166
1978-04,10.518666207,4.0610755872999995,6.4341211633399995,6.03087304419,0.40324811913999997,0.6116860290999999,0.0626733798,3696.86250247,1422.79081276,5.11965331523,191.76768134,719.45204762,0.91121972896,79.20960711,43.61381431,5.36295388,7.86557653,0.9506850298754536,0.6641594373233759
1978-05,10.5306706989,4.0939978713,6.432653456070001,6.03322601717,0.39942743890000004,0.6108493599,0.0620937288,3692.31191719,1426.58093374,5.118892850919999,193.54664408,720.78652217,0.9143331662499999,78.96981325,43.68342972,5.24761433,7.901026,0.950192051247294,0.6643394589099103
1978-06,10.5433740212,4.1185413943,6.43991933837,6.03394952232,0.40596981605000004,0.6108025121,0.0630395809,3680.51846715,1423.74762129,5.10426608845,202.30353653,727.37989734,0.9296834338700001,79.03720962,43.617783,5.4912177,7.73612193,0.9478978082594917,0.6618610979402791
1978-07,10.555353904699999,4.1387382431,6.43065513196,6.03055471149,0.40010042047,0.6092315985,0.062217676500000006,3668.4566452,1428.20688683,5.09666353203,204.59054328,729.30063618,0.93389117946,78.67284744,43.66289128,5.39825703,7.6646749,0.9471758196263308,0.6619707563464103
1978-08,10.5704659545,4.1668144879,6.4553145967,6.0363622368200005,0.41895235987,0.610693476,0.0649003784,3668.42440217,1429.79303194,5.0982174341099995,204.12531898,734.01948374,0.93814480271,78.75602395,43.87385103,5.63566206,7.98109896,0.9472891676857844,0.6607749153769327
1978-09,10.5868991915,4.1752589569000005,6.43337470348,6.03098596629,0.40238873718999996,0.6076731805,0.0625470699,3672.35225605,1434.82014095,5.10717239699,197.95135262,725.86221667,0.92381356929,78.4607316,43.56587491,5.48071264,7.60988691,0.9488537921995157,0.6640588034098913
1978-10,10.598291017400001,4.182064291800001,6.43235532111,6.03592187528,0.39643344583,0.6069238248,0.0616311485,3674.27072538,1433.61740658,5.107888131959999,201.49142383,726.54231948,0.92803374332,78.44569317,43.43512945,5.42429049,7.46017914,0.948012438309438,0.6636626862749779
1978-11,10.612928152,4.2063484455,6.43572382309,6.028272487330001,0.40745133576000003,0.606404164,0.0633108795,3680.67888441,1423.14768409,5.1038265685,197.13974765,727.30617117,0.9244459188299999,78.45043471,43.33386544,5.49419848,7.80334008,0.9491622052614477,0.6617894546348845
1978-12,10.62903885,4.0590643212,6.46763912837,6.05336058258,0.41427854579,0.6084876742,0.0640540602,3689.32551616,1423.55345333,5.11287896949,201.98654559,738.4950675,0.94048161309,78.57705786,43.62491505,5.45255134,8.07285009,0.9480929459306426,0.6584280785629663
1979-01,10.6437731569,4.2225412828,6.464850707429999,6.05303371506,0.41181699236999997,0.6073833604,0.0637009285,3695.61178275,1426.84561147,5.1224573942300005,196.41982503,734.15649581,0.93057632084,78.46600216,43.51615644,5.42935055,8.01802079,0.9495328289119324,0.6602703471057394
1979-02,10.6607078111,4.151929282299999,6.4683769705100005,6.063649843039999,0.40472712747,0.6067492971,0.0625701207,3704.36422084,1425.22586887,5.12959008972,196.58175367,737.47799965,0.93405975332,78.43289281,43.42431385,5.32059053,7.90005198,0.9496066454253592,0.6590018585601933
1979-03,10.6798629557,4.1553055273999995,6.463298836210001,6.05592240589,0.40737643032,0.6051855593,0.06302918069999999,3704.70359249,1419.77834276,5.12448193524,197.99632664,733.44414401,0.9314404706499999,78.37978297,43.16862571,5.3810794,7.92875581,0.949266833027701,0.6593737300643638
1979-04,10.692065989000001,4.1838416794,6.48626493186,6.06476874559,0.42149618627,0.6066428077,0.0649828816,3712.1612992,1409.1525301,5.1213138293,198.01836089,745.43655541,0.9434549163,78.56826177,43.27498695,5.52912257,8.20728211,0.9493582448624771,0.6540237948743011
1979-05,10.706453036700001,4.2307788535999995,6.4718503286699995,6.07036017191,0.40149015676,0.60448127,0.062036378499999996,3711.97798211,1406.6761022,5.11865408431,207.48425573,744.22183188,0.9517060876100001,78.40355165,43.01103528,5.22745977,7.93171555,0.9470630808158153,0.6539948176581774
1979-06,10.7243561291,4.235610663499999,6.50625001267,6.09949849751,0.40675151516,0.6066797796,0.0625170435,3727.95737366,1425.27796371,5.15323533737,199.96488529,746.29827486,0.94626316015,78.43317852,43.41197842,5.227411,8.04926932,0.9490914350877571,0.6563333759115714
1979-07,10.7363918505,4.2453721885,6.50556252384,6.097532988449999,0.40802953539,0.6059356453,0.0627201005,3729.78524334,1418.74887319,5.14853411653,200.502135,748.49673692,0.9489988719200001,78.31519852,43.38279165,5.12581981,8.28148167,0.9489853754448143,0.6546322514493363
1979-08,10.7506589018,4.2946405080000005,6.5133294930000005,6.11484545626,0.39848403673,0.6058539809,0.0611797756,3743.87344601,1423.03586075,5.16690930676,201.09324036,746.84290914,0.9479361495,78.37389293,43.31266311,4.96077765,8.15120906,0.9490253641292373,0.6558135323026085
1979-09,10.7669179123,4.2086975617,6.5236178893400005,6.11705934279,0.40655854655,0.6058946434,0.062321023899999994,3737.98931384,1423.9266165,5.16191593034,205.06463426,750.0787782,0.95514341246,78.25236809,43.44080596,4.99702807,8.39213722,0.9479934495040799,0.654978419083681
